date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:11	20940/20940	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2251cc-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Light.eot?	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Lightd41d.eot	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:11	49380/49380	---M--	200	added ('OK')	application/font-woff2	etag:W/%22c0e4-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Light.woff2	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Light.woff2	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:11	62316/62316	---M--	200	added ('OK')	application/font-woff	etag:W/%22f36c-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Light.woff	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Light.woff	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:11	126792/126792	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221ef48-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Light.ttf	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Light.ttf	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:11	21320/21320	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225348-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.eot	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.eot	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:12	21320/21320	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225348-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.eot?	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Regulard41d.eot	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:12	49236/49236	---M--	200	added ('OK')	application/font-woff2	etag:W/%22c054-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.woff2	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.woff2	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:12	61736/61736	---M--	200	added ('OK')	application/font-woff	etag:W/%22f128-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.woff	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.woff	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:12	126072/126072	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221ec78-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.ttf	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Regular.ttf	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:13	21364/21364	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225374-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.eot	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.eot	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:13	21364/21364	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225374-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.eot?	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Mediumd41d.eot	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:13	50224/50224	---M--	200	added ('OK')	application/font-woff2	etag:W/%22c430-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.woff2	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.woff2	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:13	62980/62980	---M--	200	added ('OK')	application/font-woff	etag:W/%22f604-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.woff	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.woff	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:13	127488/127488	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221f200-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.ttf	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Medium.ttf	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:14	20966/20966	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2251e6-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.eot	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.eot	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:14	20966/20966	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2251e6-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.eot?	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Boldd41d.eot	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:14	49976/49976	---M--	200	added ('OK')	application/font-woff2	etag:W/%22c338-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.woff2	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.woff2	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:14	62876/62876	---M--	200	added ('OK')	application/font-woff	etag:W/%22f59c-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.woff	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.woff	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
10:14:15	127744/127744	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221f300-158a1511f30%22	https://upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.ttf	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/fonts/roboto/Roboto-Bold.ttf	(from https://upiqr.in/libs/materialize/css/materialize.min.css)
